Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,ModelEntity,PCB,[Population],Content,NumberInSystem,Average,1.8487035325909,1.73260599198033,1.91609392946062,0.0174689557661944,0.0423182067979516
Scenario1,ModelEntity,PCB,[Population],Content,NumberInSystem,Maximum,12.56,10,16,0.674941675702427,1.6350331291241
Scenario1,ModelEntity,PCB,[Population],Content,NumberInSystem,Minimum,0,0,0,0,0
Scenario1,ModelEntity,PCB,[Population],FlowTime,TimeInSystem,Average (Hours),0.184631165812604,0.176559327345751,0.190343129433756,0.00124916922847281,0.00302608824726941
Scenario1,ModelEntity,PCB,[Population],FlowTime,TimeInSystem,Maximum (Hours),0.81195907698445,0.633971881387879,1.0157154550468,0.0468811679315512,0.113568720764417
Scenario1,ModelEntity,PCB,[Population],FlowTime,TimeInSystem,Minimum (Hours),0.0855656361393085,0.0838988181257037,0.086926338131093,0.000322217940263254,0.000780566715754008
Scenario1,ModelEntity,PCB,[Population],FlowTime,TimeInSystem,Observations,10011.72,9813,10209,35.4742941049769,85.9357899829867
Scenario1,ModelEntity,PCB,[Population],Throughput,NumberCreated,Total,10011.76,9813,10211,35.6320135127051,86.3178621916306
Scenario1,ModelEntity,PCB,[Population],Throughput,NumberDestroyed,Total,10011.72,9813,10209,35.4742941049769,85.9357899829867
Scenario1,Server,Inspection,[Resource],Capacity,ScheduledUtilization,Percent,50.0536408829434,49.0733873159875,50.9760959071543,0.179714122503936,0.435353978933953
Scenario1,Server,Inspection,[Resource],Capacity,UnitsAllocated,Total,10011.84,9813,10210,35.4705230891454,85.9266547702167
Scenario1,Server,Inspection,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Server,Inspection,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Server,Inspection,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Server,Inspection,[Resource],Capacity,UnitsUtilized,Average,0.500536408829434,0.490733873159875,0.509760959071543,0.00179714122503936,0.00435353978933953
Scenario1,Server,Inspection,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Server,Inspection,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Server,Inspection,[Resource],ResourceState,TimeProcessing,Average (Hours),0.05318034466474,0.0528215120374837,0.0535702044157002,8.17305524559751E-05,0.000197990679399164
Scenario1,Server,Inspection,[Resource],ResourceState,TimeProcessing,Occurrences,9412.08,9247,9590,31.8166163476634,77.0751365011225
